Batch,OE,Rep,Nuc,PI,pctPI
2,shCtrl,1,945,17,0.018 
2,shCtrl,1,911,26,0.028 
2,shCtrl,1,875,25,0.028 
2,shCtrl,1,950,16,0.017 
2,shCtrl,2,1110,35,0.031 
2,shCtrl,2,923,42,0.044 
2,shCtrl,2,975,57,0.055 
2,shCtrl,2,1021,41,0.039 
2,shCtrl,3,974,21,0.021 
2,shCtrl,3,932,23,0.024 
2,shCtrl,3,1091,12,0.011 
2,shCtrl,3,1154,15,0.013 
2,shCtrl,4,1002,27,0.026 
2,shCtrl,4,1197,19,0.016 
2,shCtrl,4,1143,14,0.012 
2,shCtrl,4,992,25,0.025 
2,GFP,1,263,318,0.547 
2,GFP,1,275,178,0.393 
2,GFP,1,435,267,0.380 
2,GFP,1,416,166,0.285 
2,GFP,2,265,221,0.455 
2,GFP,2,368,248,0.403 
2,GFP,2,324,202,0.384 
2,GFP,2,428,223,0.343 
2,GFP,3,305,251,0.451 
2,GFP,3,343,299,0.466 
2,GFP,3,506,240,0.322 
2,GFP,3,341,174,0.338 
2,GFP,4,317,297,0.484 
2,GFP,4,507,363,0.417 
2,GFP,4,348,340,0.494 
2,GFP,4,351,295,0.457 
2,ADGRL1,1,261,330,0.558 
2,ADGRL1,1,369,412,0.528 
2,ADGRL1,1,470,384,0.450 
2,ADGRL1,1,363,391,0.519 
2,ADGRL1,2,409,217,0.347 
2,ADGRL1,2,245,417,0.630 
2,ADGRL1,2,280,331,0.542 
2,ADGRL1,2,388,199,0.339 
2,MYO18A,1,277,230,0.454 
2,MYO18A,1,311,188,0.377 
2,MYO18A,1,360,360,0.500 
2,MYO18A,1,450,198,0.306 
2,MYO18A,2,248,283,0.533 
2,MYO18A,2,452,203,0.310 
2,MYO18A,2,360,325,0.474 
2,MYO18A,2,505,534,0.514 
2,RAP1GAP,1,92,507,0.846 
2,RAP1GAP,1,123,398,0.764 
2,RAP1GAP,1,109,430,0.798 
2,RAP1GAP,1,140,386,0.734 
2,RAP1GAP,2,155,617,0.799 
2,RAP1GAP,2,146,534,0.785 
2,RAP1GAP,2,164,462,0.738 
2,RAP1GAP,2,146,607,0.806 
2,UNC13A,1,191,234,0.551 
2,UNC13A,1,308,216,0.412 
2,UNC13A,1,207,481,0.699 
2,UNC13A,1,405,373,0.479 
2,UNC13A,2,265,348,0.568 
2,UNC13A,2,249,372,0.599 
2,UNC13A,2,219,406,0.650 
2,UNC13A,2,237,433,0.646 
2,UNC13B,1,235,338,0.590 
2,UNC13B,1,385,341,0.470 
2,UNC13B,1,396,235,0.372 
2,UNC13B,1,296,425,0.589 
2,UNC13B,2,261,313,0.545 
2,UNC13B,2,276,325,0.541 
2,UNC13B,2,413,289,0.412 
2,UNC13B,2,324,396,0.550 
2,"PKN1		",1,159,321,0.669 
2,"PKN1		",1,291,318,0.522 
2,"PKN1		",1,353,494,0.583 
2,"PKN1		",1,330,413,0.556 
2,"PKN1		",2,223,391,0.637 
2,"PKN1		",2,353,347,0.496 
2,"PKN1		",2,381,453,0.543 
2,"PKN1		",2,406,405,0.499 
2,"GRAMD1A		",1,409,225,0.355 
2,"GRAMD1A		",1,501,336,0.401 
2,"GRAMD1A		",1,456,224,0.329 
2,"GRAMD1A		",1,434,397,0.478 
2,"GRAMD1A		",2,515,417,0.447 
2,"GRAMD1A		",2,478,416,0.465 
2,"GRAMD1A		",2,542,397,0.423 
2,"GRAMD1A		",2,735,424,0.366 
2,"INTS3		",1,228,347,0.603 
2,"INTS3		",1,427,369,0.464 
2,"INTS3		",1,418,301,0.419 
2,"INTS3		",1,622,377,0.377 
2,"INTS3		",2,286,395,0.580 
2,"INTS3		",2,210,350,0.625 
2,"INTS3		",2,474,414,0.466 
2,"INTS3		",2,567,373,0.397 
3,shCtrl,1,435,13,0.029 
3,shCtrl,1,421,10,0.023 
3,shCtrl,1,337,12,0.034 
3,shCtrl,1,427,23,0.051 
3,shCtrl,1,470,33,0.066 
3,shCtrl,1,398,23,0.055 
3,shCtrl,2,349,30,0.079 
3,shCtrl,2,651,44,0.063 
3,shCtrl,2,502,20,0.038 
3,shCtrl,2,619,30,0.046 
3,shCtrl,2,524,51,0.089 
3,shCtrl,2,544,42,0.072 
3,GFP,1,116,125,0.519 
3,GFP,1,106,87,0.451 
3,GFP,1,153,124,0.448 
3,GFP,1,117,131,0.528 
3,GFP,1,131,128,0.494 
3,GFP,1,104,153,0.595 
3,GFP,2,120,176,0.595 
3,GFP,2,120,119,0.498 
3,GFP,2,98,152,0.608 
3,GFP,2,159,208,0.567 
3,GFP,2,110,162,0.596 
3,GFP,2,104,165,0.613 
3,CHID1,1,178,113,0.388 
3,CHID1,1,156,77,0.330 
3,CHID1,1,225,172,0.433 
3,CHID1,1,148,222,0.600 
3,CHID1,1,124,162,0.566 
3,CHID1,1,165,233,0.585 
3,CHID1,2,150,173,0.536 
3,CHID1,2,186,169,0.476 
3,CHID1,2,137,143,0.511 
3,CHID1,2,231,189,0.450 
3,CHID1,2,207,203,0.495 
3,CHID1,2,143,186,0.565 
3,CORO7,1,165,112,0.404 
3,CORO7,1,225,245,0.521 
3,CORO7,1,193,266,0.580 
3,CORO7,1,222,262,0.541 
3,CORO7,1,198,187,0.486 
3,CORO7,1,237,199,0.456 
3,CORO7,2,196,214,0.522 
3,CORO7,2,191,243,0.560 
3,CORO7,2,237,272,0.534 
3,CORO7,2,196,197,0.501 
3,CORO7,2,143,183,0.561 
3,CORO7,2,192,195,0.504 
3,PTPRN2,1,226,181,0.445 
3,PTPRN2,1,149,216,0.592 
3,PTPRN2,1,132,118,0.472 
3,PTPRN2,1,135,198,0.595 
3,PTPRN2,1,160,317,0.665 
3,PTPRN2,1,153,185,0.547 
