"","Gene Symbol","CE Detail","Ensembl ID","ID #","Canonical Splice Junction","Cryptic Exon Location
  (hg38)","Cryptic Exon (bp)","Splice Site (L/R)","type","Noncoding","LEAKY/Weak","Annotated Alternate Exon","Inf. Ins.","UTR","Complex Splicing","Unannotated WT exon","Conserved Region","LeftJunction","RightJunction","LPSI_C","LPSI_CUS","LPSI_CX","LPSI_CXS","LPSI_CXU","LPSI_SgC","LPSI_T","LPSI_TUS","LPSI_TX","LPSI_TXS","LPSI_TXU","RPSI_C","RPSI_CUS","RPSI_CX","RPSI_CXS","RPSI_CXU","RPSI_SgC","RPSI_T","RPSI_TUS","RPSI_TX","RPSI_TXS","RPSI_TXU","avgCtrl","avgT","avgCUS","avgCX","avgCXS","avgCXU","avgTUS","avgTX","avgTXS","avgTXU","maxCtrl","maxTDP","maxDiff","NMDonly","category"
"1","AARS1",NA,"ENSG00000090861","CE001","chr16:70271973-70276485","chr16:70272796-70272882","87","AC/CT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr16:70271973-70272795","chr16:70272883-70276485",0,0,0,0,0,0,28,23.7,34.7,32.1,22.5,0.2,0,0,0,0,0,23.7,16.7,28.2,26,16,0,25.9,0,0,0,0,20.2,26.6,29,19.2,"0",29,29,"10pct","TDPKDonly"
"2","AARS1",NA,"ENSG00000090861","CE001","chr16:70271973-70276485","chr16:70272796-70272882","87","AC/CT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr16:70271973-70272795","chr16:70272883-70276485",0,0,0,0,0,0,28,23.7,34.7,32.1,22.5,0.2,0,0,0,0,0,23.7,16.7,28.2,26,16,0,25.9,0,0,0,0,20.2,26.6,29,19.2,"0",29,29,"5pct","TDPKDonly"
"3","AARS1",NA,"ENSG00000090861","CE001","chr16:70271973-70276485","chr16:70272796-70272882","87","AC/CT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr16:70271973-70272795","chr16:70272883-70276485",0,0,0,0,0,0,28,23.7,34.7,32.1,22.5,0.2,0,0,0,0,0,23.7,16.7,28.2,26,16,0,25.9,0,0,0,0,20.2,26.6,29,19.2,"0",29,29,"1pct","TDPKDonly"
"4","ABR",NA,"ENSG00000159842","CE002","chr17:1125368-1179666","chr17:1160553-1160763","211","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr17:1125368-1160552","chr17:1160764-1179666",1.7,2,0.9,1.1,1.5,0,8.8,5.3,8,7,18.8,1.2,1,1.1,2.3,1.5,4.4,5.2,7.7,4.5,3.1,18.8,1.8,7,1.5,1.4,1.7,1.5,6.5,10,5,18.8,"1.8",18.8,17,"10pct","NMDi"
"5","ABR",NA,"ENSG00000159842","CE002","chr17:1125368-1179666","chr17:1160553-1160763","211","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr17:1125368-1160552","chr17:1160764-1179666",1.7,2,0.9,1.1,1.5,0,8.8,5.3,8,7,18.8,1.2,1,1.1,2.3,1.5,4.4,5.2,7.7,4.5,3.1,18.8,1.8,7,1.5,1.4,1.7,1.5,6.5,10,5,18.8,"1.8",18.8,17,"5pct","TDPKDonly"
"6","ABR",NA,"ENSG00000159842","CE002","chr17:1125368-1179666","chr17:1160553-1160763","211","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr17:1125368-1160552","chr17:1160764-1179666",1.7,2,0.9,1.1,1.5,0,8.8,5.3,8,7,18.8,1.2,1,1.1,2.3,1.5,4.4,5.2,7.7,4.5,3.1,18.8,1.8,7,1.5,1.4,1.7,1.5,6.5,10,5,18.8,"1.8",18.8,17,"1pct","TDPKDonly"
"7","ACER1",NA,"ENSG00000078124","CE003","chr11:76861080-76926556","chr11:76868120-76868973","-","AG/-","polyA",NA,"Y",NA,NA,NA,NA,NA,NA,"chr11:76861080-76868119",NA,14,12.9,6,7.3,12.1,33.3,59.5,33.3,52.5,55.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,59.5,12.9,8.5,7.3,12.1,33.3,36,55.6,0,"23.6",59.5,35.9,"10pct","TDPKDonly"
"8","ACER1",NA,"ENSG00000078124","CE003","chr11:76861080-76926556","chr11:76868120-76868973","-","AG/-","polyA",NA,"Y",NA,NA,NA,NA,NA,NA,"chr11:76861080-76868119",NA,14,12.9,6,7.3,12.1,33.3,59.5,33.3,52.5,55.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,59.5,12.9,8.5,7.3,12.1,33.3,36,55.6,0,"23.6",59.5,35.9,"5pct","TDPKDonly"
"9","ACER1",NA,"ENSG00000078124","CE003","chr11:76861080-76926556","chr11:76868120-76868973","-","AG/-","polyA",NA,"Y",NA,NA,NA,NA,NA,NA,"chr11:76861080-76868119",NA,14,12.9,6,7.3,12.1,33.3,59.5,33.3,52.5,55.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,59.5,12.9,8.5,7.3,12.1,33.3,36,55.6,0,"23.6",59.5,35.9,"1pct","TDPKDonly"
"10","ACTL6B",NA,"ENSG00000077080","CE004","chr7:100650136-100655018","chr7:100650575-100650643","69","AC/CT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr7:100650136-100650574","chr7:100650644-100655018",0,0,0,0,0.2,0,52.8,81.9,64.5,55,85.3,0.2,0,0.1,0,0.2,0,57.5,83.1,62.9,56.3,86.7,0,55.1,0,0.1,0,0.2,82.5,68.4,55.6,86,"0.2",86,85.8,"10pct","TDPKDonly"
