Gene Symbol,Ensembl ID,Canonical Junction (L),Canonical Junction (R),Skyptic Junction,"Reference Transcript
(Complete)","Reference Transcript
(With Skip)",Skipped Exons,# Skipped bp,Noncoding,UG repeat,Inframe,UTR,Conserved Region
ADGRB2,ENSG00000121753,chr1:31736391-31736572,chr1:31736724-31737428,chr1:31736391-31737428,ENST00000373658.8,NA,21,151,NA,Y,NA,NA,Y
AGPAT4,ENSG00000026652,chr6:161153500-161154148,chr6:161154311-161166247,chr6:161153500-161166247,ENST00000320285.9,ENST00000860937.1,4,162,NA,Y,Y,NA,Y
CEP44,ENSG00000164118,chr4:174283944-174297965,chr4:174298063-174299071,chr4:174283944-174299071,ENST00000503780.6,NA,2,97,NA,Y,Y,Y,NA
EHMT1,ENSG00000181090,chr9:137778056-137779634,chr9:137782398-137790847,chr9:137778056-137790847,ENST00000460843.6,NA,"14,15","83, 107",NA,Y,NA,NA,Y
ELAPOR1,ENSG00000116299,chr1:109197655-109197978,chr1:109198076-109198572,chr1:109197655-109198572,ENST00000369939.8,NA,17,97,NA,NA,NA,NA,Y
EP400,ENSG00000183495,chr12:131992231-131994866,chr12:131994957-132005076,chr12:131992231-132005076,ENST00000389561.7,NA,12,90,NA,Y,Y,NA,Y
FAM114A2,ENSG00000055147,chr5:154002970-154011240,chr5:154011321-154026398,chr5:154002970-154026398,ENST00000351797.9,NA,9,80,NA,?,NA,NA,NA
G6PD,ENSG00000160211,chrX:154532803-154532941,chrX:154533129-154533575,chrX:154532803-154533575,ENST00000393562.10,NA,9,187,NA,NA,NA,NA,Y
GRIP2,ENSG00000144596,chr3:14507701-14509819,chr3:14509965-14511164,chr3:14507701-14511164,ENST00000621039.5,NA,17,145,NA,?,NA,NA,Y
KCNQ2,ENSG00000075043,chr20:63439709-63442405,chr20:63442532-63444658,chr20:63439709-63444658,ENST00000359125.7,ENST00000921680.1,5,126,NA,Y,Y,NA,NA
NFASC,ENSG00000163531,chr1:204991307-204997169,chr1:204997407-205001169,chr1:204991307-205001169,ENST00000339876.11,NA,25,237,NA,Y,Y,NA,Y
NUP210,ENSG00000132182,chr3:13366092-13371833,chr3:13373874-13375503,chr3:13366092-13375503,ENST00000254508.7,NA,"12,13","156, 199",NA,Y,NA,NA,Y
PKNOX2, ENSG00000165495,chr11:125410326-125410778,chr11:125410877-125411745,chr11:125410326-125411745, ENST00000298282.14,NA,9,98,NA,?,NA,NA,Y
POLDIP3,ENSG00000100227,chr22:42599794-42601969,chr22:42602057-42602769,chr22:42599794-42602769,ENST00000252115.10,ENST00000929279.1,3,87,NA,?,Y,NA,Y
PPP1R1A,ENSG00000135447,chr12:54581051-54581975,chr12:54582132-54582731,chr12:54581051-54582731,ENST00000257905.13,NA,5,156,NA,Y,Y,NA,Y
SCLY,ENSG00000132330,chr2:238083355-238091217,chr2:238091255-238093860,chr2:238083355-238093860,ENST00000254663.12,NA,8,37,NA,Y,NA,NA,Y
