"","Gene Symbol","CE Detail","Ensembl ID","ID #","Canonical Splice Junction","Cryptic Exon Location
  (hg38)","Cryptic Exon (bp)","Splice Site (L/R)","type","Noncoding","LEAKY/Weak","Annotated Alternate Exon","Inf. Ins.","UTR","Complex Splicing","Unannotated WT exon","Conserved Region","LeftJunction","RightJunction","LPSI_C","LPSI_CUS","LPSI_CX","LPSI_CXS","LPSI_CXU","LPSI_SgC","LPSI_T","LPSI_TUS","LPSI_TX","LPSI_TXS","LPSI_TXU","RPSI_C","RPSI_CUS","RPSI_CX","RPSI_CXS","RPSI_CXU","RPSI_SgC","RPSI_T","RPSI_TUS","RPSI_TX","RPSI_TXS","RPSI_TXU","avgCtrl","avgT","avgCUS","avgCX","avgCXS","avgCXU","avgTUS","avgTX","avgTXS","avgTXU","maxCtrl","maxTDP","maxDiff"
"1","ACTL6B",NA,"ENSG00000077080","CE004","chr7:100650136-100655018","chr7:100650575-100650643","69","AC/CT","cassette",NA,NA,NA,"Y",NA,NA,NA,NA,"chr7:100650136-100650574","chr7:100650644-100655018",0,0,0,0,0.2,0,52.8,81.9,64.5,55,85.3,0.2,0,0.1,0,0.2,0,57.5,83.1,62.9,56.3,86.7,0,55.1,0,0.1,0,0.2,82.5,68.4,55.6,86,0.2,86,85.8
"2","ADARB2","1_long","ENSG00000185736","CE006","chr10:1363918-1379073","chr10:1376104-1376218","115","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1363918-1376103","chr10:1376219-1379073",0,0,0,0,0,0,8.7,47.8,23.5,37.5,68.8,0,0,0,0,0,0,40,76.5,56.7,58.3,86.8,0,24.4,0,0,0,0,62.1,55.3,47.9,77.8,0,77.8,77.8
"3","ADARB2","1_short","ENSG00000185736","CE007","chr10:1363918-1379073","chr10:1376116-1376218","103","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr10:1363918-1376115","chr10:1376219-1379073",0,0,0,0,0,0,34.4,69.2,59.4,63,72.7,0,0,0,0,0,0,40,76.5,56.7,58.3,86.8,0,37.2,0,0,0,0,72.8,66.2,60.6,79.8,0,79.8,79.8
"4","ADCY1","long","ENSG00000164742","CE010","chr7:45622744-45648669","chr7:45625299-45625430","132","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,"Y","chr7:45622744-45625298","chr7:45625431-45648669",0,0,0,0,0,0,52.5,86.9,57.1,36.8,86.7,0,0,0,0,0,0,20,48.1,37.9,22.6,60,0,36.2,0,0,0,0,67.5,50.2,29.7,73.3,0,73.3,73.3
"5","ADCY1","short","ENSG00000164742","CE011","chr7:45622744-45648669","chr7:45625299-45625377","79","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr7:45622744-45625298","chr7:45625378-45648669",0,0,0,0,0,0,52.5,86.9,57.1,36.8,86.7,0,0,0,0,0,0,42.9,77,61.7,41.5,80.6,0,47.7,0,0,0,0,82,60.7,39.1,83.7,0,83.7,83.7
"6","ADCY8",NA,"ENSG00000155897","CE012","chr8:130904043-130909707","chr8:130908924-130909014","-","AC/-","start site",NA,NA,NA,NA,NA,NA,NA,NA,"chr8:130904043-130908923",NA,8,0,0,0,0,0,30,85.7,53.7,69.4,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,30,0,0,0,0,85.7,63.3,69.4,66.7,4,85.7,81.7
"7","ARHGAP32",NA,"ENSG00000134909","CE027","chr11:128988126-128998318","chr11:128991575-128992046","-","-/CT","polyA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chr11:128992047-128998318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.4,0,0,3.1,0,78,77.3,72.3,39.5,72.5,1.3,78,2.4,1,0,3.1,77.3,61.4,39.5,72.5,3.1,78,74.9
"8","CAMK2B","1","ENSG00000058404","CE047","chr7:44220902-44226515","chr7:44222117-44223928","1812","AC/CT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr7:44220902-44222116","chr7:44223929-44231005",0,0,9.1,0,0,0,100,100,100,98.6,98.2,0,0,0,0,0,0,100,100,100,91.7,95,0,100,0,1.5,0,0,100,97.2,95.2,96.6,1.5,100,98.5
"9","CBARP",NA,"ENSG00000099625","CE050","chr19:1235146-1235500","chr19:1235146-1235342","-","-/CT","exon ext.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chr19:1235343-1235500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3,6.2,5.6,6.6,1.5,57,86.6,70.1,64.5,89.8,2.9,57,3,6.1,5.6,6.6,86.6,74.8,64.5,89.8,6.6,89.8,83.2
"10","CBARP","miniexon","ENSG00000099625","CE052","chr19:1235146-1235500","chr19:1235312-1235342","31","AC/CT","exon ext.",NA,NA,NA,NA,NA,NA,NA,NA,"chr19:1235146-1235311","chr19:1235343-1235500",4.4,5,9.3,8.2,6.5,6.4,35.5,62.2,50.6,50,75.5,4.3,3,6.2,5.6,6.6,1.5,57,86.6,70.1,64.5,89.8,4.2,46.2,4,7.1,6.9,6.6,74.4,66.8,57.2,82.7,7.1,82.7,75.6
"11","CDK7","long","ENSG00000134058","CE054","chr5:69259937-69262204","chr5:69261377-69261458","82","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr5:69259937-69261376","chr5:69261459-69262204",0,0,0.8,0,0,0,14.7,70.5,62.2,45.7,81.7,0,0,0,0,1,0,34.1,71.9,68.5,73.6,85.5,0,24.4,0,0.3,0,0.5,71.2,69.5,59.6,83.6,0.5,83.6,83.1
"12","CELF5","long","ENSG00000161082","CE059","chr19:3278111-3281198","chr19:3278209-3278316","-","-/GT","start site",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chr19:3278317-3281198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0,0,39.5,89.3,66.8,69.4,84.9,0,39.5,0,0,0,0,89.3,73.7,69.4,84.9,0,89.3,89.3
"13","CELF5","short","ENSG00000161082","CE061","chr19:3278111-3281198","chr19:3278231-3278316","86","AG/GT","cassette",NA,NA,NA,NA,NA,NA,NA,NA,"chr19:3278111-3278230","chr19:3278317-3281198",0,0,0,0,0,0,3.1,68.8,14.8,20.4,54,0.1,0,0,0,0,0,39.5,89.3,66.8,69.4,84.9,0,21.3,0,0,0,0,79,51.7,44.9,69.4,0,79,79
