"","Gene Symbol","CE Detail","Ensembl ID","ID #","Canonical Splice Junction","Cryptic Exon Location
(hg38)","LeftJunction","RightJunction","L_padj_TDPvCtrl","R_padj_TDPvCtrl","L_padj_TDPvTXUTXS","R_padj_TDPvTXUTXS"
"1","AARS1",NA,"ENSG00000090861","CE001","chr16:70271973-70276485","chr16:70272796-70272882","chr16:70271973-70272795","chr16:70272883-70276485","5.03e-09","5.03e-09","0.137","0.137"
"2","ABR",NA,"ENSG00000159842","CE002","chr17:1125368-1179666","chr17:1160553-1160763","chr17:1125368-1160552","chr17:1160764-1179666","6.78e-10","6.78e-10","0.561","0.561"
"3","ACER1",NA,"ENSG00000078124","CE003","chr11:76861080-76926556","chr11:76868120-76868973","chr11:76861080-76868119",NA,"0.000174",NA,"not calculated",NA
"4","ACTL6B",NA,"ENSG00000077080","CE004","chr7:100650136-100655018","chr7:100650575-100650643","chr7:100650136-100650574","chr7:100650644-100655018","3.43e-34","3.43e-34","2.36e-05","2.36e-05"
"5","ADARB1",NA,"ENSG00000197381","CE005","chr21:45180445-45182584","chr21:45181480-45181516","chr21:45180445-45181479","chr21:45181517-45182584","2.59e-08","2.59e-08","8.57e-05","8.57e-05"
"6","ADARB2","1_long","ENSG00000185736","CE006","chr10:1363918-1379073","chr10:1376104-1376218","chr10:1363918-1376103","chr10:1376219-1379073","6.46e-48","6.46e-48","0.000151","0.000151"
"7","ADARB2","1_short","ENSG00000185736","CE007","chr10:1363918-1379073","chr10:1376116-1376218","chr10:1363918-1376115","chr10:1376219-1379073","6.46e-48","6.46e-48","0.000151","0.000151"
"8","ADARB2","2","ENSG00000185736","CE008","chr10:1379161-1737050","chr10:1505255-1505358","chr10:1379161-1505254","chr10:1505359-1737050","not calculated","6.46e-48","not calculated","0.000151"
"9","ADARB2","3","ENSG00000185736","CE009","chr10:1379161-1737050","chr10:1630502-1645966",NA,"chr10:1645967-1737050",NA,"6.46e-48",NA,"0.000151"
"10","ADCY1","long","ENSG00000164742","CE010","chr7:45622744-45648669","chr7:45625299-45625430","chr7:45622744-45625298","chr7:45625431-45648669","1.4e-31","1.4e-31","0.000172","0.000172"
"11","ADCY1","short","ENSG00000164742","CE011","chr7:45622744-45648669","chr7:45625299-45625377","chr7:45622744-45625298","chr7:45625378-45648669","1.4e-31","1.4e-31","0.000172","0.000172"
"12","ADCY8",NA,"ENSG00000155897","CE012","chr8:130904043-130909707","chr8:130908924-130909014","chr8:130904043-130908923",NA,"1.48e-06",NA,"not calculated",NA
"13","ADGRB1",NA,"ENSG00000181790","CE013","chr8:142526628-142533294","chr8:142526628-142531271",NA,"chr8:142531272-142533294",NA,"2.7e-10",NA,"0.00328"
"14","ADGRL1",NA,"ENSG00000072071","CE014","chr19:14177745-14183532","chr19:14176479-14176669","chr19:14170792-14176478","chr19:14176670-14177530","1.21e-34","1.21e-34","0.00345","0.00345"
"15","ADGRL3",NA,"ENSG00000150471","CE015","chr4:61733555-61813808","chr4:61775439-61776284","chr4:61733555-61775438","chr4:61776285-61813808","4.54e-13","4.54e-13","1.21e-12","1.21e-12"
"16","AEBP2",NA,"ENSG00000139154","CE016","chr12:19462718-19473247","chr12:19466748-19466850","chr12:19462718-19466747","chr12:19466851-19473247","7.53e-05","7.53e-05","1e-05","1e-05"
"17","AGRN","long","ENSG00000188157","CE017","chr1:1044440-1045160","chr1:1044888-1044987","chr1:1044440-1044887","chr1:1044988-1045160","not calculated","7.39e-10","not calculated","0.535"
"18","AGRN","short","ENSG00000188157","CE018","chr1:1044440-1045160","chr1:1044892-1044987","chr1:1044440-1044891","chr1:1044988-1045160","not calculated","7.39e-10","not calculated","0.535"
"19","AGTPBP1",NA,"ENSG00000135049","CE019","chr9:85633375-85642826","chr9:85639891-85639968","chr9:85633375-85639890","chr9:85639969-85642826","1.21e-09","1.21e-09","1.42e-06","1.42e-06"
"20","AIG1",NA,"ENSG00000146416","CE020","chr6:143165184-143284109","chr6:143270732-143270782","chr6:143165184-143270731","chr6:143270783-143284109","1.41e-09","1.41e-09","8.39e-08","8.39e-08"
"21","AKT3","1","ENSG00000117020","CE021","chr1:243512427-243545509","chr1:243523309-243523467","chr1:243512427-243523308","chr1:243523468-243527753","3.36e-18","not calculated","8.98e-05","not calculated"
"22","AKT3","2","ENSG00000117020","CE022","chr1:243512427-243545509","chr1:243527754-243527864","chr1:243523468-243527753","chr1:243527865-243545509","not calculated","3.36e-18","not calculated","8.98e-05"
